 5.00000000e-14  1.09895335e+00  5.00000000e-14  1.09895331e+00  5.00000000e-14  2.43579591e-01  5.00000000e-14  1.39103411e+00 
 1.00000000e-13  1.09894226e+00  1.00000000e-13  1.09894228e+00  1.00000000e-13  2.27581455e-01  1.00000000e-13  1.37947798e+00 
 2.00000000e-13  1.09894192e+00  2.00000000e-13  1.09894193e+00  2.00000000e-13  2.01550689e-01  2.00000000e-13  1.36055503e+00 
 4.00000000e-13  1.09894226e+00  4.00000000e-13  1.09894227e+00  4.00000000e-13  1.57679562e-01  4.00000000e-13  1.32719155e+00 
 8.00000000e-13  1.09894194e+00  8.00000000e-13  1.09894194e+00  8.00000000e-13  9.42939865e-02  8.00000000e-13  1.27383072e+00 
 1.60000000e-12  1.09894227e+00  1.60000000e-12  1.09894228e+00  1.60000000e-12  2.79522600e-02  1.60000000e-12  1.20450488e+00 
 3.20000000e-12  1.09894189e+00  3.20000000e-12  1.09894195e+00  3.20000000e-12 -8.21083278e-03  3.20000000e-12  1.14089261e+00 
 5.00000000e-12  1.09894214e+00  5.00000000e-12  1.09894228e+00  5.00000000e-12 -5.14731179e-03  5.00000000e-12  1.11857647e+00 
 5.32000000e-12  1.09894196e+00  5.32000000e-12  1.09894212e+00  5.32000000e-12 -4.59451227e-03  5.32000000e-12  1.11646204e+00 
 5.96000000e-12  1.09894193e+00  5.96000000e-12  1.09894212e+00  5.96000000e-12 -3.52275021e-03  5.96000000e-12  1.11277736e+00 
 7.24000000e-12  1.09894187e+00  7.24000000e-12  1.09894212e+00  7.24000000e-12 -2.06936163e-03  7.24000000e-12  1.10762229e+00 
 9.80000000e-12  1.09894176e+00  9.80000000e-12  1.09894212e+00  9.80000000e-12 -6.66595997e-04  9.80000000e-12  1.10249188e+00 
 1.48000000e-11  1.09894157e+00  1.48000000e-11  1.09894212e+00  1.48000000e-11  5.14857438e-06  1.48000000e-11  1.09999819e+00 
 1.98000000e-11  1.09894137e+00  1.98000000e-11  1.09894211e+00  1.98000000e-11  9.96897535e-06  1.98000000e-11  1.09998408e+00 
 2.48000000e-11  1.09894117e+00  2.48000000e-11  1.09894211e+00  2.48000000e-11  9.80270989e-06  2.48000000e-11  1.09998354e+00 
 2.98000000e-11  1.09894098e+00  2.98000000e-11  1.09894211e+00  2.98000000e-11  9.70613689e-06  2.98000000e-11  1.09998342e+00 
 3.48000000e-11  1.09894078e+00  3.48000000e-11  1.09894211e+00  3.48000000e-11  9.96880578e-06  3.48000000e-11  1.09998361e+00 
 3.98000000e-11  1.09894059e+00  3.98000000e-11  1.09894211e+00  3.98000000e-11  9.63590619e-06  3.98000000e-11  1.09998338e+00 
 4.48000000e-11  1.09894039e+00  4.48000000e-11  1.09894211e+00  4.48000000e-11  9.99916414e-06  4.48000000e-11  1.09998363e+00 
 4.98000000e-11  1.09894019e+00  4.98000000e-11  1.09894210e+00  4.98000000e-11  9.62292224e-06  4.98000000e-11  1.09998337e+00 
 5.48000000e-11  1.09894000e+00  5.48000000e-11  1.09894210e+00  5.48000000e-11  1.00045628e-05  5.48000000e-11  1.09998363e+00 
 5.98000000e-11  1.09893980e+00  5.98000000e-11  1.09894210e+00  5.98000000e-11  9.62078756e-06  5.98000000e-11  1.09998337e+00 
 6.48000000e-11  1.09893961e+00  6.48000000e-11  1.09894210e+00  6.48000000e-11  1.00052449e-05  6.48000000e-11  1.09998363e+00 
 6.98000000e-11  1.09893941e+00  6.98000000e-11  1.09894210e+00  6.98000000e-11  9.62070312e-06  6.98000000e-11  1.09998337e+00 
 7.48000000e-11  1.09893921e+00  7.48000000e-11  1.09894210e+00  7.48000000e-11  1.00050363e-05  7.48000000e-11  1.09998363e+00 
 7.98000000e-11  1.09893902e+00  7.98000000e-11  1.09894209e+00  7.98000000e-11  9.62100537e-06  7.98000000e-11  1.09998337e+00 
 8.48000000e-11  1.09893882e+00  8.48000000e-11  1.09894209e+00  8.48000000e-11  1.00046600e-05  8.48000000e-11  1.09998363e+00 
 8.98000000e-11  1.09893863e+00  8.98000000e-11  1.09894209e+00  8.98000000e-11  9.62138022e-06  8.98000000e-11  1.09998337e+00 
 9.48000000e-11  1.09893843e+00  9.48000000e-11  1.09894209e+00  9.48000000e-11  1.00042527e-05  9.48000000e-11  1.09998363e+00 
 9.98000000e-11  1.09893823e+00  9.98000000e-11  1.09894209e+00  9.98000000e-11  9.62176780e-06  9.98000000e-11  1.09998337e+00 
 1.04800000e-10  1.09893804e+00  1.04800000e-10  1.09894209e+00  1.04800000e-10  1.00038401e-05  1.04800000e-10  1.09998363e+00 
 1.09800000e-10  1.09893784e+00  1.09800000e-10  1.09894208e+00  1.09800000e-10  9.62215754e-06  1.09800000e-10  1.09998337e+00 
