 5.00000000e-14  1.09929824e+00  5.00000000e-14  1.09929820e+00  5.00000000e-14  2.89522481e-01  5.00000000e-14  1.44235987e+00 
 1.00000000e-13  1.09929330e+00  1.00000000e-13  1.09929330e+00  1.00000000e-13  2.75168243e-01  1.00000000e-13  1.43252095e+00 
 2.00000000e-13  1.09929319e+00  2.00000000e-13  1.09929319e+00  2.00000000e-13  2.49441649e-01  2.00000000e-13  1.41440971e+00 
 4.00000000e-13  1.09929330e+00  4.00000000e-13  1.09929330e+00  4.00000000e-13  2.04373635e-01  4.00000000e-13  1.38230654e+00 
 8.00000000e-13  1.09929319e+00  8.00000000e-13  1.09929320e+00  8.00000000e-13  1.35536221e-01  8.00000000e-13  1.33019077e+00 
 1.60000000e-12  1.09929330e+00  1.60000000e-12  1.09929330e+00  1.60000000e-12  5.49487965e-02  1.60000000e-12  1.25797592e+00 
 3.20000000e-12  1.09929312e+00  3.20000000e-12  1.09929320e+00  3.20000000e-12 -2.40894235e-03  3.20000000e-12  1.18182193e+00 
 5.00000000e-12  1.09929306e+00  5.00000000e-12  1.09929330e+00  5.00000000e-12 -9.35379980e-03  5.00000000e-12  1.14589448e+00 
 5.32000000e-12  1.09929298e+00  5.32000000e-12  1.09929325e+00  5.32000000e-12 -8.77036699e-03  5.32000000e-12  1.14227652e+00 
 5.96000000e-12  1.09929291e+00  5.96000000e-12  1.09929325e+00  5.96000000e-12 -7.58532543e-03  5.96000000e-12  1.13565714e+00 
 7.24000000e-12  1.09929279e+00  7.24000000e-12  1.09929325e+00  7.24000000e-12 -5.53306560e-03  7.24000000e-12  1.12539524e+00 
 9.80000000e-12  1.09929257e+00  9.80000000e-12  1.09929325e+00  9.80000000e-12 -2.78305356e-03  9.80000000e-12  1.11270044e+00 
 1.48000000e-11  1.09929217e+00  1.48000000e-11  1.09929325e+00  1.48000000e-11 -5.67579403e-04  1.48000000e-11  1.10268269e+00 
 1.98000000e-11  1.09929178e+00  1.98000000e-11  1.09929325e+00  1.98000000e-11 -1.04287401e-04  1.98000000e-11  1.10051975e+00 
